number,naive,std
256,8.15960912052117,8.42671009771987
304,8.34997257268239,8.65002742731761
362,8.85076001842469,9.17964071856287
430,9.1190383869717,9.48662272198527
512,9.50928036470205,9.90784760664279
608,9.83109404990403,10.2637784480395
724,10.1346995164633,10.5438636886945
861,10.4786060019361,10.8702807357212
1024,10.8489337457268,11.2433664333388
1217,11.1772359950692,11.6147103136557
1448,11.487970530678,11.9928628985841
1722,11.855967476527,12.329396960604
2048,12.2228371449499,12.7013917148205
2435,12.5302895475392,13.0427133958519
2896,12.8922014388489,13.3994244604317
3444,13.2493345593573,13.7750084692445
4096,13.579003051882,14.1338758901322
4870,13.9508538964373,14.5136726102878
5792,14.3005093378608,14.8825933066674
6888,14.6428001064679,15.2440293270743
8192,14.9861243921792,15.6155520742203
9741,15.3431602361194,15.9784241594662
11585,15.6906875368657,16.3247205397862
13777,16.0204207546485,16.687143876798
16384,16.3615861163952,17.0575058746936
19483,16.7039017254506,17.4179320256294
23170,17.060948503442,17.7823031384199
27554,17.4112736884765,18.1470212856045
32768,17.7699624123251,18.5229213608875
38967,18.0988319126094,18.8688157877853
46340,18.4450562690846,19.2318631558882
55108,18.8012774953349,19.6059301914126
